Probe Trials								
S	Cact-Bk	Bk-Cact	Well-Sk	Sk-Well		C Mean		AD (within-S, all trials)
								
20	7.58	354.92	38.67	33.92		18.82		22.22
21	346.56	357.53	358.48	21.63		0.98		33.51
22	353.61	344.97	22.42	317.34		349.56		28.08
23	341.84	345.96	15.28	341.23		350.92		19.16
24	304.18	16.16	1.89	3.39		352.61		38.4
25	15.27	358.23	27.29	331.91		3.37		30.42
26	23.3	7.13	2.2	15.35		11.99		19.31
27	12.66	19.88	44.88	325.55		11.46		38.5
28	28.82	17.03	359.31	16.3		15.39		15.62
29	8.48	1.96	332.32	53.94		8.63		29.85
								
C Mean	0.98	2.37	12.34	2.01		4.38		27.51
AD						10.02		
								
								
Standard Trials								
S	Clk-Eth	Eth-Clk	Mn-Flam	Flam-Mn		C Mean		AD (within-S, all trials)
								
20	16.21	336.83	303.27	16.21		348.8		39.47
21	342.62	3.51	351.21	25.81		0.67		32.21
22	338.52	353.78	23.65	349.44		356.16		21.69
23	353.34	21.49	12.3	326.37		358.61		35.91
24	359.22	348.66	51.42	37.44		19.14		28.81
25	9.98	321.9	343.74	349.18		346.21		19.79
26	29.51	320.56	355.18	358.08		355.91		29.53
27	340.09	50.77	348.38	322.63		353.62		34.06
28	331.36	344.25	9.74	337.25		345.52		14.79
29	271.26	14.85	337.06	23.26		345.37		55.21
								
C Mean	348.93	355.12	357.56	358.52		354.94		31.12
AD						9.6		
