Probe Trials								
S	Cact-Bk	Bk-Cact	Well-Sk	Sk-Well		C Mean		AD (within-S, all trials)
								
30	44.9	52.82	61.52	350.09		38.53		39.93
31	40.17	64.58	35.21	45.89		46.41		32.05
32	7.43	33.38	82.57	64.85		47.26		35.26
33	45.83	24.16	28.72	27.21		31.45		18.93
34	48.98	48.38	22.87	22.21		35.61		19.41
35	3.82	34.4	50.84	359.07		21.93		49.82
36	50.16	31.84	72.9	34.98		47.33		18.95
37	36.84	30.06	69.4	13.36		37.17		26.77
38	21.06	32.45	71.02	25.88		37.19		25.34
39	40.83	63.32	18.74	359.93		30.64		37.83
								
C Mean	34.2	41.46	51.48	22.17		37.36		30.41
AD						7.74		
											
								
Standard Trials								
S	Clk-Eth	Eth-Clk	Mn-Flam	Flam-Mn		C Mean		AD (within-S, all trials)
								
30	327.07	359.24	347.06	321.83		338.77		36.36
31	311.5	311.44	357.58	248.49		308.38		62.99
32	282.29	9.34	348.87	6.13		344.16		30.79
33	353.02	304.13	335.85	314.25		326.74		20.81
34	289.14	29.53	27.79	11.16		3.88		49.85
35	347.11	43.11	313.65	5.17		357.08		55.81
36	12.41	318.36	323.71	1.69		344		47
37	331.02	22.5	354.13	48.88		9.04		45.26
38	303.48	298.99	310.25	258.15		293.17		61
39	322.4	25.29	46.25	44.51		21.8		41.97
								
C Mean	323.8	352.89	347.76	347.65		343.11		45.22
AD						25.53		
