	Circular Mean			AD (within-subject)			
S	Probe	Neighb	Strang		Probe	Neighb	Strang	All trials
								
40	33.726	14.502	358.100		36.521	40.311	39.020	40.763
41	29.082	14.034	1.432		40.757	37.700	40.054	41.049
42	29.728	7.136	340.719		27.279	28.431	48.025	38.584
43	25.138	26.665	315.613		60.942	46.213	62.512	62.058
44	43.169	22.386	326.467		52.808	38.160	49.347	57.012
45	9.518	8.053	354.476		21.891	19.886	14.739	19.987
46	40.676	12.672	357.242		32.423	50.629	36.805	44.494
47	67.230	42.330	341.350		45.314	69.954	55.490	65.992
48	15.559	15.673	329.400		49.993	47.240	49.523	52.192
49	48.920	28.538	347.273		54.101	48.750	61.655	61.202
50	50.149	35.594	341.409		45.839	46.770	49.574	54.366
								
C Mean	35.675	20.65	343.108		42.553	43.076	46.174	48.958
AD	15.82	10.91	13.975		11.511	12.294	12.749	12.84
95% CI	±10.83	±7.47	±9.57					
99% CI	±14.23	±9.82	±12.57					
